Ticker,Name,Country,Financial Currency,Sector Key,Industry Key,Market Cap,Current Asset,Non Current Asset,Total Liabilities,Net Income,ROIC,Final Value,Margin
AAL,American Airlines Group Inc.,United States,USD,industrials,airlines,9664204800,13572000000.0,49486000000.0,68260000000.0,"[822000000.0, 127000000.0]","[0.08645748863991343, 0.04911080770460497]",-48581678612.63614,-0.19892694274846098
DDOG,"Datadog, Inc.",United States,USD,technology,software-application,40163295232,3178137000.0,757935000.0,1910718000.0,"[48568000.0, -50160000.0]","[0.019384871435729163, -0.013201156548626025]",1460540407.8978171,0.03636505419839494
PCAR,PACCAR Inc,United States,USD,industrials,farm-heavy-construction-machinery,55559368704,32031400000.0,8792000000.0,24944600000.0,"[4600800000.0, 3011600000.0]","[0.158880201674466, 0.11682828609158552]",71618460376.16031,1.28904381109363
BIIB,Biogen Inc.,United States,USD,healthcare,drug-manufacturers-general,33570299904,6859300000.0,19985500000.0,12045400000.0,"[1161100000.0, 3046900000.0]","[0.06360591778566825, 0.16068755063615447]",7772667033.426151,0.2315340362062126
ANET,"Arista Networks, Inc.",United States,USD,technology,computer-hardware,100241694720,8390235000.0,1556571000.0,2727747000.0,"[2087321000.0, 1352446000.0]","[0.26946931577108224, 0.2672398266273483]",92372485850.94946,0.9214976473509232
TTWO,"Take-Two Interactive Software, Inc.",United States,USD,communication-services,electronic-gaming-multimedia,25251072000,2508100000.0,13354000000.0,6819600000.0,"[-1124700000.0, 418000000.0]","[-0.08280187355389472, 0.11549589918273327]",-9411028157.208815,-2.6831363776823647
DG,Dollar General Corporation,United States,USD,consumer-defensive,discount-stores,31221841920,8010724000.0,22784867000.0,24046472000.0,"[1661274000.0, 2415989000.0]","[0.13945464567314947, 0.20553995639078415]",15415141548.696747,0.49372940866830023
MRK,"Merck & Co., Inc.",United States,USD,healthcare,drug-manufacturers-general,332279349248,32168000000.0,74507000000.0,69040000000.0,"[365000000.0, 14519000000.0]","[0.008339042125713191, 0.2005137316111281]",-33072436079.599274,-10.047017656886982
HRL,Hormel Foods Corporation,United States,USD,consumer-defensive,packaged-foods,19886551040,3297249000.0,10151522000.0,5709787000.0,"[793572000.0, 999987000.0]","[0.07699547267158659, 0.09683297762608054]",4628103176.621103,0.23272528088516165
WST,"West Pharmaceutical Services, Inc.",United States,USD,healthcare,medical-instruments-supplies,26034769920,1936400000.0,1893100000.0,948500000.0,"[593400000.0, 585900000.0]","[0.18884742078586012, 0.19758354409121587]",14372626121.591757,0.5520550466071397
FDS,FactSet Research Systems Inc.,United States,USD,financial-services,financial-data-stock-exchanges,17109420032,770135000.0,3192787000.0,2342992000.0,"[468173000.0, 396917000.0]","[0.16127514805344106, 0.129414465655279]",5439144857.744773,0.317903520257955
DXC,DXC Technology Company,United States,USD,technology,information-technology-services,2955642624,6124000000.0,9721000000.0,12025000000.0,"[-568000000.0, 718000000.0]","[-0.05426612108017169, 0.08451099098766841]",-8445519276.02368,-0.3499657661537629
CCL,Carnival Corporation & plc,United States,USD,consumer-cyclical,travel-services,19650000896,5266000000.0,43854000000.0,42237000000.0,"[-74000000.0, -6093000000.0]","[0.06472282868474427, -0.10769755024728367]",-37200598615.68679,-0.5282173305596746
OGN,Organon & Co.,United States,USD,healthcare,drug-manufacturers-general,5606327808,4508000000.0,7550000000.0,12128000000.0,"[1023000000.0, 917000000.0]","[0.20990464009630033, 0.1573241008840208]",13663893437.439133,2.43722698803686
AZO,"AutoZone, Inc.",United States,USD,consumer-cyclical,specialty-retail,50481209344,6779426000.0,9206452000.0,20335772000.0,"[2528426000.0, 2429604000.0]","[0.838471399679599, 1.000933799651644]",6612619027874.645,130.9916920336338
AES,The AES Corporation,United States,USD,utilities,utilities-diversified,15122994176,6649000000.0,38150000000.0,38814000000.0,"[249000000.0, -546000000.0]","[-0.07530085152508735, 0.09700397958878133]",-31095584758.681366,-0.4863389543358857
CARR,Carrier Global Corporation,United States,USD,industrials,building-products-equipment,58773012480,18780000000.0,14042000000.0,23817000000.0,"[1349000000.0, 3534000000.0]","[0.073580076491326, 0.2310953412906051]",16435511153.762299,0.27964384434701517
MSI,"Motorola Solutions, Inc.",United States,USD,technology,communication-equipment,61344260096,5725000000.0,7611000000.0,12597000000.0,"[1709000000.0, 1363000000.0]","[0.2837251730192534, 0.25832862242178545]",65632109670.04285,1.069898138266443
PFE,Pfizer Inc.,United States,USD,healthcare,drug-manufacturers-general,162291138560,43333000000.0,183168000000.0,137213000000.0,"[2119000000.0, 31372000000.0]","[0.041974555057741045, 0.24916001619897832]",-62081243762.051544,-2.6141734399207355
WMB,"The Williams Companies, Inc.",United States,USD,energy,oil-gas-midstream,50297810944,4513000000.0,48114000000.0,37736000000.0,"[3179000000.0, 2049000000.0]","[0.1122022113243829, 0.0894286460766453]",-1196553428.0609894,-42.0355746466812
RL,Ralph Lauren Corporation,United States,USD,consumer-cyclical,apparel-manufacturing,10731830272,3324100000.0,3465400000.0,4359000000.0,"[522700000.0, 600100000.0]","[0.15500712301101272, 0.15412214157437146]",7447292903.141018,0.6939443426133434
MDLZ,"Mondelez International, Inc.",United States,USD,consumer-defensive,confectioners,95545073664,11703000000.0,59688000000.0,43025000000.0,"[4959000000.0, 2717000000.0]","[0.0994812105822639, 0.053723899737900406]",8674438293.35936,0.09078896441970888
AMD,"Advanced Micro Devices, Inc.",United States,USD,technology,semiconductors,265834512384,16768000000.0,51117000000.0,11993000000.0,"[854000000.0, 1320000000.0]","[0.017452788133090376, 0.024521865312189868]",8827607392.913975,0.033207153253910195
