Ticker,Name,Country,Financial Currency,Sector Key,Industry Key,Market Cap,Market Cap History,Stock Price,Dividends,Current Asset,Non Current Asset,Total Liabilities,Net Income,ROIC,Final Value,Margin
004250.KS,"NPC Co., Ltd.",South Korea,KRW,N/A,N/A,201610854400,"[201610854400, 235219015000.0, 368090825000.0, 152802581500.0]","[5210.0, 6550.0, 10250.0, 4255.0]","[0.0, 0.0, 0.0, 0.0]","[166703610610.0, 164109365940.0, 157573258610.0, 165595946000.0]","[370929243590.0, 363166327520.0, 342407124160.0, 244982647000.0]","[172746133730.0, 182861269820.0, 176774337440.0, 115195205520.0]","[26735842390.0, 28124620070.0, 26179580380.0, 18866163960.0]","[0.06742070753291944, 0.07125145897333363, 0.06360997789022514, 0.0559893263830284]",195473339561.7588,0.9695576170414701
006740.KS,"Young Poong Paper Mfg Co.,Ltd.",South Korea,KRW,N/A,N/A,79545663488,"[79545663488, 883350000000.0, 217304100000.0, 117485550000.0]","[1801.0, 20000.0, 4920.0, 2660.0]","[0.0, 0.0, 0.0, 0.0]","[61503210870.0, 54442061420.0, 85462405100.0, 72959682620.0]","[138413078410.0, 149228318220.0, 124133934040.0, 129157875240.0]","[79693711100.0, 67139875780.0, 77558898570.0, 75568184420.0]","[-5412251110.0, 7928888480.0, 6353882470.0, 8535763290.0]","[NaN, 0.048166747070911814, 0.039352455844441234, 0.047330799416102444]",,
000100.KS,Yuhan Corporation,South Korea,KRW,N/A,N/A,5382221594624,"[5382221594624, 4218868447828.9062, 3991183609408.5938, 4088124969202.3438]","[72900.0, 57142.85546875, 54058.95703125, 55371.98828125]","[NaN, NaN, NaN, NaN]","[1041572652080.0, 1188897717370.0, 1224097103090.0, 1195516580490.0]","[1361516984680.0, 1283830354770.0, 1239714701850.0, 1198005520440.0]","[419379014520.0, 464921702700.0, 527922717340.0, 547019907070.0]","[93509563680.0, 95144301420.0, 102582679180.0, 192761176870.0]","[0.04788124423112208, 0.045237548126220196, 0.049644394734127927, 0.09850950140934439]",1190480990629.5369,0.22118765823737946
005950.KS,"ISU Chemical Co., Ltd",South Korea,KRW,N/A,N/A,251920252928,"[251920252928, 456440204545.3125, 173777232657.17773, 130882845962.25586]","[11410.0, 20673.140625, 7870.73779296875, 5927.96044921875]","[0.0, 0.0, 0.0, 0.0]","[696255711970.0, 648004325420.0, 668558728960.0, 512851440310.0]","[397211001700.0, 540072247710.0, 500379847150.0, 456207397280.0]","[832802122590.0, 782591483380.0, 777122951530.0, 683246292610.0]","[-31269931250.0, 27727241770.0, 94032081250.0, -78687201590.0]","[NaN, NaN, 0.15126934415839194, NaN]",,
015020.KS,E-Starco. Co. Ltd,South Korea,KRW,N/A,N/A,28584884224,"[28584884224, 34418535000.0, 60669960000.0, 139618690000.0]","[735.0, 885.0, 1560.0, 3590.0]","[0.0, 0.0, 0.0, 0.0]","[18875569530.0, 19768810730.0, 21352650370.0, 12735309890.0]","[60628850070.0, 60022550320.0, 60735206520.0, 57960877740.0]","[37121852830.0, 34487215490.0, 31761979270.0, 21867550160.0]","[-2921578780.0, -5021732070.0, 1497240160.0, -57403070.0]","[NaN, NaN, 0.031405229443469615, NaN]",,
084680.KS,"E-World Co.,Ltd.",South Korea,KRW,N/A,N/A,294923239424,"[294923239424, 219954750000.0, 334529250000.0, 483051750000.0]","[2085.0, 1555.0, 2365.0, 3415.0]","[NaN, NaN, NaN, NaN]","[40408168280.0, 46776319540.0, 50134099010.0, 58396230090.0]","[381258355450.0, 384928695150.0, 383040626920.0, 389457659760.0]","[186383287490.0, 185352588240.0, 194324047770.0, 85228986990.0]","[-9443187610.0, 5633003780.0, -13811440440.0, -15416352040.0]","[NaN, 0.02569652592162906, NaN, NaN]",,
013360.KS,"Ilsung Construction Co., Ltd.",South Korea,KRW,N/A,N/A,74554359808,"[74554359808, 127228639500.0, 212047732500.0, 123987145500.0]","[1380.0, 2355.0, 3925.0, 2295.0]","[0.0, 0.0, 0.0, 0.0]","[212923747550.0, 219850373050.0, 212446659530.0, 126299075940.0]","[196389684950.0, 193451624270.0, 166840714080.0, 172211432010.0]","[284266784850.0, 292815448260.0, 269946371050.0, 208208371160.0]","[4077357130.0, 7226416620.0, 5660650830.0, 2864609370.0]","[0.03737452229132569, 0.07987843458167268, 0.07677480210232801, 0.03574297510592657]",-43553621003.77301,-1.7117832705928497
033780.KS,KT&G Corporation,South Korea,KRW,N/A,N/A,9927808516096,"[9927808516096, 9420136000000.0, 9555515200000.0, 9307320000000.0]","[88000.0, 83500.0, 84700.0, 82500.0]","[0.0, 0.0, 0.0, 0.0]","[6418374000000.0, 6509585000000.0, 6255861536470.0, 6750382617140.0]","[6354078000000.0, 5792131000000.0, 5381409657720.0, 4718000535020.0]","[3477517000000.0, 2943136000000.0, 2428409041140.0, 2376811495920.0]","[902662000000.0, 1015785000000.0, 977258704830.0, 1171734472590.0]","[0.09899799970799046, 0.10965653971246758, 0.11160966504781149, 0.12801664512821728]",12328926023320.434,1.241857757765119
192820.KS,"Cosmax, Inc.",South Korea,KRW,N/A,N/A,1945787564032,"[1945787564032, 1014305580000.0, 747681630000.0, 1333119750000.0]","[171500.0, 89400.0, 65900.0, 117500.0]","[0.0, 0.0, 0.0, 0.0]","[821629081840.0, 737152717210.0, 792234582900.0, 622616678040.0]","[735448192970.0, 659297787440.0, 619694192860.0, 566426219910.0]","[1198515835530.0, 952203952000.0, 946544204180.0, 917142782630.0]","[57137182680.0, 20847690650.0, 74435535610.0, 21378297180.0]","[0.05763966413339666, -0.06333971817396492, 0.03844355958370007, -5.512259156529211]",-162796553128.30322,-11.952265122582086
005070.KS,"Cosmo Advanced Materials & Technology Co., Ltd.",South Korea,KRW,N/A,N/A,4601858228224,"[4601858228224, 5921497052296.875, 1697346346570.3125, 834261707548.8281]","[141600.0, 182205.515625, 52227.6484375, 25670.380859375]","[NaN, NaN, NaN, NaN]","[295505274300.0, 208828977840.0, 119251500960.0, 153998449210.0]","[377168069520.0, 242492138730.0, 229231156520.0, 208324232300.0]","[193891013670.0, 200117019630.0, 143034110900.0, 185519057100.0]","[27036287900.0, 27697027960.0, 17998487320.0, 11736404500.0]","[0.05680338638069787, 0.08335279467993895, 0.06693243306860926, 0.057482483667797984]",306813115155.1455,0.0666715704698174
259960.KS,"KRAFTON, Inc.",South Korea,KRW,N/A,N/A,11618637316096,"[11618637316096, 9098603040000.0, 11709943200000.0, NaN]","[254500.0, 199300.0, 256500.0, NaN]","[NaN, NaN, NaN, NaN]","[3964417087690.0, 3892564094340.0, 3653732581730.0, 1292530944050.0]","[2476039531900.0, 2145219871790.0, 2064094985740.0, 426574787590.0]","[881636358560.0, 921378865690.0, 1109583258710.0, 505010037870.0]","[595361538220.0, 500154033510.0, 519877658340.0, 556267188900.0]","[0.10796667279228878, 0.10177058447621395, 0.1161207646317811, 0.461687544704846]",9305215435947.06,0.8008869872421255
011280.KS,"Tailim Packaging Co., Ltd.",South Korea,KRW,N/A,N/A,190684315648,"[190684315648, 201010183680.0, 268128310080.0, 335934827520.0]","[2770.0, 2920.0, 3895.0, 4880.0]","[0.0, 0.0, 0.0, 0.0]","[178782919340.0, 171430957660.0, 153240342930.0, 114775854260.0]","[537173039330.0, 479786817390.0, 447623371510.0, 452010299340.0]","[350120774890.0, 284710005640.0, 257262396230.0, 242365394710.0]","[5043033060.0, 17438834550.0, 16996801980.0, 2988307200.0]","[0.028731857192908102, 0.05233401553897811, 0.04951466707145316, 0.01659538998343456]",-142409531074.85715,-1.3389856297452967
