Simulation Run, Initial Amount, Final Amount, Initial Benchmark, Final Benchmark, Return on Stocks, Return on Benchmark, Beat Market By
2023-05-24 00:37:36, 99609.13784790039, 109822.0512815094, 3941.47998046875, 4115.240234375, 10.25, 4.41, 5.84
2024-05-23 00:37:36, 99278.7145023346, 148073.14976181032, 4115.240234375, 5307.009765625, 49.15, 28.96, 20.19
